time	delta	theta	alpha_low	alpha_high	beta_low	beta_high	gamma_low	gamma_mid
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
30842	1422473	71423	26322	13476	15603	11480	2581	735
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
31785	1782965	190570	39179	61501	35016	34354	6915	3785
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
32732	1289730	959762	312738	316945	370891	228598	32331	28267
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
33773	2129568	117159	32581	56737	71259	41455	13143	2579
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
34700	36406	344807	2344	26838	11148	9188	2226	1845
36741	121607	72416	38352	48950	47508	42094	4668	3088
36741	121607	72416	38352	48950	47508	42094	4668	3088
