time	raw
31432	38
31432	38
31433	37
31433	37
31433	38
31433	38
31433	38
31433	38
31433	38
31433	38
31433	38
31433	38
31433	38
31433	38
31433	37
31433	37
31433	33
31533	33
31533	42
31533	49
31533	19
31533	9
31533	7
31533	3
31533	0
31533	-2
31533	-8
31533	-22
31533	-35
31533	-36
31533	-34
31533	-41
31533	-59
31533	-75
31533	-82
31533	-72
31533	-62
31533	-52
31533	-40
31533	-33
31533	-28
31534	-30
31534	-25
31534	-12
31534	-2
31534	8
31534	23
31534	52
31534	82
31534	98
31534	101
31534	90
31534	85
31534	88
31534	90
31534	98
31534	102
31534	92
31534	75
31534	71
31534	74
31534	73
31534	66
31534	54
31534	42
31534	34
31534	21
31534	6
31534	0
31534	-6
31534	-18
31534	-23
31534	-17
31534	-12
31534	-21
31534	-36
31535	-45
31535	-42
31535	-37
31535	-34
31635	-41
31635	-57
31635	-66
31635	-68
31635	-69
31635	-75
31635	-87
31635	-87
31635	-89
31635	-94
31635	-103
31635	-114
31635	-124
31635	-140
31635	-151
31635	-140
31635	-120
31635	-109
31635	-108
31635	-102
31635	-86
31635	-65
31635	-46
31635	-42
31635	-41
31635	-36
31636	-27
31636	-24
31636	-30
31636	-39
31636	-38
31636	-33
31636	-27
31636	-28
31636	-24
31636	-17
31636	-8
31636	0
31636	5
31636	0
31636	-10
31636	-19
31636	-14
31636	-13
31636	-17
31636	-7
31636	6
31636	18
31636	29
31636	39
31636	37
31636	41
31636	49
31636	45
31739	39
31739	34
31739	27
31739	25
31739	27
31739	36
31739	44
31739	57
31739	58
31739	43
31739	32
31739	25
31739	37
31739	55
31739	57
31739	58
31739	59
31739	58
31739	57
31739	60
31739	61
31739	60
31739	57
31739	55
31739	58
31739	65
31739	73
31739	83
31739	87
31739	87
31739	89
31739	91
31739	97
31739	107
31739	115
31739	115
31739	106
31739	104
31739	103
31739	103
31739	101
31739	91
31739	83
31740	77
31740	77
31740	76
31740	71
31740	69
31740	66
31840	59
31840	55
31840	52
31840	41
31840	35
31840	50
31840	70
31840	76
31840	60
31840	34
31840	13
31840	12
31840	16
31840	19
31840	26
31840	36
31840	44
31840	41
31840	33
31840	28
31840	39
31840	53
31840	56
31840	53
31840	58
31840	72
31840	91
31840	104
31840	102
31840	97
31840	91
31840	98
31840	98
31840	92
31840	88
31840	84
31840	82
31840	89
31840	112
31840	122
31840	125
31840	124
31840	122
31840	115
31840	106
31840	106
31840	103
31840	99
31841	103
31841	116
31841	129
31841	124
31841	107
31841	93
31941	89
31941	90
31941	98
31941	98
31941	89
31941	77
31941	72
31941	67
31941	49
31941	20
31941	2
31941	4
31941	5
31941	-3
31941	-11
31941	-19
31941	-10
