time	delta	theta	alpha_low	alpha_high	beta_low	beta_high	gamma_low	gamma_mid
29094	115500	106561	19110	7682	24865	12782	4030	3713
29094	115500	106561	19110	7682	24865	12782	4030	3713
29094	115500	106561	19110	7682	24865	12782	4030	3713
29094	115500	106561	19110	7682	24865	12782	4030	3713
29094	115500	106561	19110	7682	24865	12782	4030	3713
29094	115500	106561	19110	7682	24865	12782	4030	3713
29095	115500	106561	19110	7682	24865	12782	4030	3713
29095	115500	106561	19110	7682	24865	12782	4030	3713
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
30152	3436401	239482	42592	18168	71746	45442	26132	17661
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
31122	76347	9234	3134	7243	1614	915	864	923
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
32074	60427	103593	21542	65328	25014	16195	8727	5362
33113	95531	18680	5690	9011	5336	5949	2351	1263
33113	95531	18680	5690	9011	5336	5949	2351	1263
33113	95531	18680	5690	9011	5336	5949	2351	1263
33113	95531	18680	5690	9011	5336	5949	2351	1263
33113	95531	18680	5690	9011	5336	5949	2351	1263
