time	delta	theta	alpha_low	alpha_high	beta_low	beta_high	gamma_low	gamma_mid
31941	371358	176054	47445	91860	43117	12121	3846	2300
31941	371358	176054	47445	91860	43117	12121	3846	2300
31941	371358	176054	47445	91860	43117	12121	3846	2300
31941	371358	176054	47445	91860	43117	12121	3846	2300
31942	371358	176054	47445	91860	43117	12121	3846	2300
31942	371358	176054	47445	91860	43117	12121	3846	2300
31942	371358	176054	47445	91860	43117	12121	3846	2300
31942	371358	176054	47445	91860	43117	12121	3846	2300
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
32943	323588	55973	37555	22505	9953	8816	2876	2410
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
33943	148232	94513	324783	28814	23281	6567	1126	2109
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
34945	599696	103903	138105	24174	42185	7491	2608	1214
35998	246499	57071	44364	16800	14156	10159	3049	772
35998	246499	57071	44364	16800	14156	10159	3049	772
35998	246499	57071	44364	16800	14156	10159	3049	772
35998	246499	57071	44364	16800	14156	10159	3049	772
